Value,Label
"CAYA BARANCA","CAYA BARANCA"
"CAYA BEMBE","CAYA BEMBE"
"CAYA BINI BINI","CAYA BINI BINI"
"CAYA BINIBINI","CAYA BINIBINI"
"CAYA BINTI BINTI","CAYA BINTI BINTI"
"CAYA BISTA LAMA","CAYA BISTA LAMA"
"CAYA BOHI","CAYA BOHI"
"CAYA BONAIRE","CAYA BONAIRE"
"CAYA BOXMEER","CAYA BOXMEER"
"CAYA BREDA","CAYA BREDA"
"CAYA BUNITA BISTA","CAYA BUNITA BISTA"
"CAYA BUTISHI","CAYA BUTISHI"
"CAYA CANEBLUM","CAYA CANEBLUM"
"CAYA CAPT. R. RODGER","CAYA CAPT. R. RODGER"
"CAYA CASUELA","CAYA CASUELA"
"CAYA CHARLIE BROUNS SR.","CAYA CHARLIE BROUNS SR."
"CAYA CORSOU","CAYA CORSOU"
"CAYA CORSOW","CAYA CORSOW"
"CAYA DI BIENTO","CAYA DI BIENTO"
"CAYA DI CAMPEONNAN","CAYA DI CAMPEONNAN"
"CAYA DI ORO","CAYA DI ORO"
"CAYA DI SERO","CAYA DI SERO"
"CAYA DI SOLO","CAYA DI SOLO"
"CAYA DICK COOPER","CAYA DICK COOPER"
"CAYA DOROTHEA R - GIL","CAYA DOROTHEA R - GIL"
"CAYA DR. J.E.M. ARENDS","CAYA DR. J.E.M. ARENDS"
"CAYA E.O.(NETTO)PETRONIA","CAYA E.O.(NETTO)PETRONIA"
"CAYA ERNESTO O. PETRONIA","CAYA ERNESTO O. PETRONIA"
"CAYA FEDERICO MADURO","CAYA FEDERICO MADURO"
"CAYA FRANS FIGAROA","CAYA FRANS FIGAROA"
"CAYA FRANSE BLOEM","CAYA FRANSE BLOEM"
"CAYA FRANSEBLOEM","CAYA FRANSEBLOEM"
"CAYA FRÈRE ALEXIUS","CAYA FRÈRE ALEXIUS"
"CAYA FRERE ANDREAS","CAYA FRERE ANDREAS"
"CAYA FRÈRE ANTOON","CAYA FRÈRE ANTOON"
"CAYA FRÈRE ARNOLD","CAYA FRÈRE ARNOLD"
"CAYA FRERE BERNARD","CAYA FRERE BERNARD"
"CAYA FRÈRE BERNARD","CAYA FRÈRE BERNARD"
"CAYA FRÈRE BERNARDINUS","CAYA FRÈRE BERNARDINUS"
"CAYA FRÈRE BONIFACIUS","CAYA FRÈRE BONIFACIUS"
"CAYA FRERE EDUARDO","CAYA FRERE EDUARDO"
"CAYA FRÈRE EUGEEN","CAYA FRÈRE EUGEEN"
"CAYA FRERE HENRICUS","CAYA FRERE HENRICUS"
"CAYA FRÈRE JOHANNES","CAYA FRÈRE JOHANNES"
"CAYA FRÈRE LAURENTIUS","CAYA FRÈRE LAURENTIUS"
"CAYA FRÈRE PETRUS","CAYA FRÈRE PETRUS"
"CAYA FRÈRE VINCENTIUS","CAYA FRÈRE VINCENTIUS"
"CAYA G. TOPPENBERG","CAYA G. TOPPENBERG"
"CAYA G.F. (BETICO) CROES","CAYA G.F. (BETICO) CROES"
"CAYA G.F. BETICO CROES","CAYA G.F. BETICO CROES"
"CAYA GILBERTO TOPPENBERG","CAYA GILBERTO TOPPENBERG"
"CAYA GUADELOUPE","CAYA GUADELOUPE"
"CAYA H.THOMAS ERASMUS ","CAYA H.THOMAS ERASMUS "
"CAYA HAARLEM","CAYA HAARLEM"
"CAYA HADREY","CAYA HADREY"
"CAYA HANICO","CAYA HANICO"
"CAYA HARMONIA","CAYA HARMONIA"
"CAYA JOSE GEERMAN","CAYA JOSE GEERMAN"
"CAYA JUANCHO KOCK","CAYA JUANCHO KOCK"
"CAYA KANEBLOEM","CAYA KANEBLOEM"
"CAYA LOLITA E. EUSON","CAYA LOLITA E. EUSON"
"CAYA LUNA","CAYA LUNA"
"CAYA MAGUEY","CAYA MAGUEY"
"CAYA MAISHI RABO","CAYA MAISHI RABO"
"CAYA MANGASHINA","CAYA MANGASHINA"
"CAYA MARIO E. HARMS","CAYA MARIO E. HARMS"
"CAYA MARTINIQUE","CAYA MARTINIQUE"
"CAYA MESA BISTA","CAYA MESA BISTA"
"CAYA MUSICA","CAYA MUSICA"
"CAYA NEVIS","CAYA NEVIS"
"CAYA PAN BATI","CAYA PAN BATI"
"CAYA PARAPETE","CAYA PARAPETE"
"CAYA QUANT","CAYA QUANT"
"CAYA RAS","CAYA RAS"
"CAYA RITMO","CAYA RITMO"
"CAYA RUFO WEVER","CAYA RUFO WEVER"
"CAYA SABA","CAYA SABA"
"CAYA SEIDA","CAYA SEIDA"
"CAYA SOEUR DESIDERIA","CAYA SOEUR DESIDERIA"
"CAYA SOEUR DIONYSIA","CAYA SOEUR DIONYSIA"
"CAYA SOEUR DOROTHEA","CAYA SOEUR DOROTHEA"
"CAYA SOEUR MELETIA","CAYA SOEUR MELETIA"
"CAYA SOEUR NICEPHORA","CAYA SOEUR NICEPHORA"
"CAYA SOEUR ROSALIE","CAYA SOEUR ROSALIE"
"CAYA SOEURGERARDAMAJELLA","CAYA SOEURGERARDAMAJELLA"
"CAYA ST. CROIX","CAYA ST. CROIX"
"CAYA ST. EUSTATIUS","CAYA ST. EUSTATIUS"
"CAYA ST. JOHN","CAYA ST. JOHN"
"CAYA ST. KITTS","CAYA ST. KITTS"
"CAYA ST. LUCIA","CAYA ST. LUCIA"
"CAYA ST. MAARTEN","CAYA ST. MAARTEN"
"CAYA ST. THOMAS","CAYA ST. THOMAS"
"CAYA ST. VINCENT","CAYA ST. VINCENT"
"CAYA SUMPI?A","CAYA SUMPI?A"
"CAYA SUMPINJA","CAYA SUMPINJA"
"CAYA TAPUSHI","CAYA TAPUSHI"
"CAYA TARATATA","CAYA TARATATA"
"CAYA THEODORUS","CAYA THEODORUS"
"CAYA TILBURG","CAYA TILBURG"
"CAYA TOTOMO","CAYA TOTOMO"
"CAYA TUSA","CAYA TUSA"
"CAYA VALKENBURG","CAYA VALKENBURG"
"CAYA VELP","CAYA VELP"
"CAYA VRIES","CAYA VRIES"
"CAYENASTRAAT","CAYENASTRAAT"
"CELSIUSSTRAAT","CELSIUSSTRAAT"
"CHEROKEZENSTRAAT","CHEROKEZENSTRAAT"
"CHILESTRAAT","CHILESTRAAT"
"CHOPINSTRAAT","CHOPINSTRAAT"
"CHRISTIAANSSTRAAT","CHRISTIAANSSTRAAT"
"CHRISTIAANSTRAAT","CHRISTIAANSTRAAT"
"CHUCHUBISTRAAT","CHUCHUBISTRAAT"
"CITROENSTRAAT","CITROENSTRAAT"
"CLABILLOSTRAAT","CLABILLOSTRAAT"
"CLABIYOSTRAAT","CLABIYOSTRAAT"
"CLAVELSTRAAT","CLAVELSTRAAT"
"COASTAL KAMP","COASTAL KAMP"
"COBA LODO","COBA LODO"
"COCHINILLA","COCHINILLA"
"COCOROBANA","COCOROBANA"
"COCOSTRAAT","COCOSTRAAT"
"COLOMBIASTRAAT","COLOMBIASTRAAT"
"COLORADOSTRAAT","COLORADOSTRAAT"
"COLUMBUSSTRAAT","COLUMBUSSTRAAT"
"COMANCHESTRAAT","COMANCHESTRAAT"
"CONCESSIELAAN","CONCESSIELAAN"
"CONCORDIABERGWEG","CONCORDIABERGWEG"
"CONSTANTIJN HUYGENSTRA","CONSTANTIJN HUYGENSTRA"
"CONSUELOSTRAAT","CONSUELOSTRAAT"
"COPERNICUSSTRAAT","COPERNICUSSTRAAT"
"COSTA RICASTRAAT","COSTA RICASTRAAT"
"CRIJNSSENSTRAAT","CRIJNSSENSTRAAT"
"CRISTAL","CRISTAL"
"CROESSTRAAT","CROESSTRAAT"
"CRYNSSENSTRAAT","CRYNSSENSTRAAT"
"CUDI","CUDI"
"CUIGISTRAAT","CUIGISTRAAT"
"CUMANA","CUMANA"
"CUNUCU ABOU","CUNUCU ABOU"
"CUQUISASTRAAT","CUQUISASTRAAT"
"CURA CABAI","CURA CABAI"
"CURA CABAI ZUID","CURA CABAI ZUID"
"CURIESTRAAT","CURIESTRAAT"
"CUTISA","CUTISA"
"DABARUIDASTRAAT","DABARUIDASTRAAT"
"DADELSTRAAT","DADELSTRAAT"
"DAHLIASTRAAT","DAHLIASTRAAT"
"DAIMARI","DAIMARI"
"DAIMARI Z/N","DAIMARI Z/N"
"DALTONSTRAAT","DALTONSTRAAT"
"DANZA","DANZA"
"DATUSTRAAT","DATUSTRAAT"
"DE GROOTSTRAAT","DE GROOTSTRAAT"
"DE LA SALLESTRAAT","DE LA SALLESTRAAT"
"DE RUYTERSTRAAT","DE RUYTERSTRAAT"
"DE VEERSTRAAT","DE VEERSTRAAT"
"DE VUYST","DE VUYST"
"DE WITTSTRAAT","DE WITTSTRAAT"
"DEPCHI","DEPCHI"
"DIAMANTBERGWEG","DIAMANTBERGWEG"
"DIAMANTE","DIAMANTE"
"DIESELSTRAAT","DIESELSTRAAT"
"DIRKSZSTRAAT","DIRKSZSTRAAT"
"DIVIDIVISTRAAT","DIVIDIVISTRAAT"
"DOMINICANESSENSTRAAT","DOMINICANESSENSTRAAT"
"DOMINICAWEG","DOMINICAWEG"
"DOORMANSTRAAT","DOORMANSTRAAT"
"DR HENRIQUEZSTRAAT","DR HENRIQUEZSTRAAT"
"DR HORACIO E ODUBER BLVD","DR HORACIO E ODUBER BLVD"
"DR ODUBERSTRAAT","DR ODUBERSTRAAT"
"DR SCHAEPMANSTRAAT","DR SCHAEPMANSTRAAT"
"DR. HENRIQUEZSTRAAT","DR. HENRIQUEZSTRAAT"
"DR. ODUBERSTRAAT","DR. ODUBERSTRAAT"
"DR. SCHAEPMANSTRAAT","DR. SCHAEPMANSTRAAT"
"DR.HORACIO E.ODUBER BLVD","DR.HORACIO E.ODUBER BLVD"
"DRIEMASTERSTRAAT","DRIEMASTERSTRAAT"
"DRUIVENSTRAAT","DRUIVENSTRAAT"
"DUARTESTRAAT","DUARTESTRAAT"
"DWARSSTRAAT","DWARSSTRAAT"
"ECKMEYERSTRAAT","ECKMEYERSTRAAT"
"ECUADORSTRAAT","ECUADORSTRAAT"
"EDENSTRAAT","EDENSTRAAT"
"EDISONSTRAAT","EDISONSTRAAT"
"ELLEBOOGSTRAAT","ELLEBOOGSTRAAT"
"EMANSTRAAT","EMANSTRAAT"
"EMMASTRAAT","EMMASTRAAT"
"ENGELANDSTRAAT","ENGELANDSTRAAT"
"ERASMUSSTRAAT","ERASMUSSTRAAT"
"ERASMUSTRAAT","ERASMUSTRAAT"
"ESMERALDA","ESMERALDA"
"ESSO HEIGHTS","ESSO HEIGHTS"
"FAHRENHEITSTRAAT","FAHRENHEITSTRAAT"
"FARADAYSTRAAT","FARADAYSTRAAT"
"FELICIDAD","FELICIDAD"
"FIGAROASTRAAT","FIGAROASTRAAT"
"FIRST STICK HILLWEG","FIRST STICK HILLWEG"
"FIYOSTRAAT","FIYOSTRAAT"
"FLACCIUSSTRAAT","FLACCIUSSTRAAT"
"FLAG STAFFWEG","FLAG STAFFWEG"
"FLAMBOYANSTRAAT","FLAMBOYANSTRAAT"
"FLAMINGOSTRAAT","FLAMINGOSTRAAT"
"FLEMINGSTRAAT","FLEMINGSTRAAT"
"FLEMMINGSTRAAT","FLEMMINGSTRAAT"
"FLORIN","FLORIN"
"FORTHEUVELSTRAAT","FORTHEUVELSTRAAT"
"FRANKENSTRAAT","FRANKENSTRAAT"
"FRANKLINSTRAAT","FRANKLINSTRAAT"
"FRED HENDRIKSTRAAT","FRED HENDRIKSTRAAT"
"FREDERIK HENDRIKSTRAAT","FREDERIK HENDRIKSTRAAT"
"FUERTE","FUERTE"
"G. M. DE BRUYNEWIJK","G. M. DE BRUYNEWIJK"
"GALILEISTRAAT","GALILEISTRAAT"
"GASPARITO","GASPARITO"
"GEERMANSTRAAT","GEERMANSTRAAT"
"GEN MAJ DE BRUYNEWIJK","GEN MAJ DE BRUYNEWIJK"
"GEN. MAJ. DE BRUYNEWIJK","GEN. MAJ. DE BRUYNEWIJK"
"GEORGE MADUROSTRAAT","GEORGE MADUROSTRAAT"
"GEZELLESTRAAT","GEZELLESTRAAT"
"GIELSTRAAT","GIELSTRAAT"
"GILLES POPPESTRAAT","GILLES POPPESTRAAT"
"GOLETSTRAAT","GOLETSTRAAT"
"GOLFWEG","GOLFWEG"
"GONZALITOSTRAAT","GONZALITOSTRAAT"
"GRANAATAPPELSTRAAT","GRANAATAPPELSTRAAT"
"GRAVENHORSTSTRAAT","GRAVENHORSTSTRAAT"
"GREAT HILLWEG","GREAT HILLWEG"
"GRENADAWEG","GRENADAWEG"
"GROTE BERGWEG","GROTE BERGWEG"
"GUATEMALASTRAAT","GUATEMALASTRAAT"
"GUIDO GEZELLESTRAAT","GUIDO GEZELLESTRAAT"
"GUITARASTRAAT","GUITARASTRAAT"
"GURDEIN","GURDEIN"
"GUTENBERGSTRAAT","GUTENBERGSTRAAT"
"GUYABASTRAAT","GUYABASTRAAT"
"GUYABASTRAAT Z/N","GUYABASTRAAT Z/N"
"HABIJASTRAAT","HABIJASTRAAT"
"HATO","HATO"
"HAVENSTRAAT","HAVENSTRAAT"
"HEIDESTRAAT","HEIDESTRAAT"
"HELFRICHSTRAAT","HELFRICHSTRAAT"
"HENDRIK CASIMIRSTRAAT","HENDRIK CASIMIRSTRAAT"
"HENDRIKSTRAAT","HENDRIKSTRAAT"
"HERMAN GORTERSTRAAT","HERMAN GORTERSTRAAT"
"HILDEBRANDSTRAAT","HILDEBRANDSTRAAT"
"HOOIBERG","HOOIBERG"
"HOOIBERG KAVEL","HOOIBERG KAVEL"
"HOSPITAALSTRAAT","HOSPITAALSTRAAT"
"HOSPITAALWIJK","HOSPITAALWIJK"
"HUBADASTRAAT","HUBADASTRAAT"
"HUMILDAD","HUMILDAD"
"HURONSTRAAT","HURONSTRAAT"
"IERLANDSTRAAT","IERLANDSTRAAT"
"INDIANENWEG","INDIANENWEG"
"IR LUYMESSTRAAT","IR LUYMESSTRAAT"
"IR. LUYMESSTRAAT","IR. LUYMESSTRAAT"
"IRAUSQUINPLEIN","IRAUSQUINPLEIN"
"IRENESTRAAT","IRENESTRAAT"
"ISAAC WAGEMAKERSTRAAT","ISAAC WAGEMAKERSTRAAT"
"ITALIESTRAAT","ITALIESTRAAT"
"J.E. IRAUSQUIN BLVD","J.E. IRAUSQUIN BLVD"
"J.E. IRAUSQUIN BOULEVARD","J.E. IRAUSQUIN BOULEVARD"
"J.E.IRAUSQUINPLEIN","J.E.IRAUSQUINPLEIN"
"JABURIBARI","JABURIBARI"
"JACOB CATSTRAAT","JACOB CATSTRAAT"
"JACOB THIELENSTRAAT","JACOB THIELENSTRAAT"
"JAMANOTA","JAMANOTA"
"JAN DE OUDESTRAAT","JAN DE OUDESTRAAT"
"JAN FLEMMING","JAN FLEMMING"
"JAN STEENSTRAAT","JAN STEENSTRAAT"
"JAN VAN DER BIESTSTRAA","JAN VAN DER BIESTSTRAA"
"JAN VAN DER BIESTSTRAAT","JAN VAN DER BIESTSTRAAT"
"JAN VAN NASSAUSTRAAT","JAN VAN NASSAUSTRAAT"
"JANANA","JANANA"
"JANSZSTRAAT","JANSZSTRAAT"
"JARA COMPLEX","JARA COMPLEX"
"JARMANSTRAAT","JARMANSTRAAT"
"JASMIJNSTRAAT","JASMIJNSTRAAT"
"JIM BLUE JACKETSTRAAT","JIM BLUE JACKETSTRAAT"
"JOHAN DE WITTSTRAAT","JOHAN DE WITTSTRAAT"
"JOHN G. EMANSTRAAT","JOHN G. EMANSTRAAT"
"JOLASTRAAT","JOLASTRAAT"
"JUANA MORTO","JUANA MORTO"
"JUANA MORTO COMPLEX","JUANA MORTO COMPLEX"
"JUANA MORTOSTRAAT","JUANA MORTOSTRAAT"
"JUCURI","JUCURI"
"JULIANA VAN STOLBERGST","JULIANA VAN STOLBERGST"
"JULIANA VAN STOLBERGSTR","JULIANA VAN STOLBERGSTR"
"JULIANASTRAAT","JULIANASTRAAT"
"JUPITERSTRAAT","JUPITERSTRAAT"
"JUWANA MORTO COMPLEX","JUWANA MORTO COMPLEX"
"JUWANA MORTOSTRAAT","JUWANA MORTOSTRAAT"
"JUWAWEG","JUWAWEG"
"KAAS ARIBA","KAAS ARIBA"
"KAAS DI PALOMA","KAAS DI PALOMA"
"KADUSHI LARGO","KADUSHI LARGO"
"KADUSHISTRAAT","KADUSHISTRAAT"
"KAMAY","KAMAY"
"KAMERLINGH ONNESSTRAAT","KAMERLINGH ONNESSTRAAT"
"KANARIESTRAAT","KANARIESTRAAT"
"KAS ARIBA","KAS ARIBA"
"KAS DI PALOMA","KAS DI PALOMA"
"KASHUSTRAAT","KASHUSTRAAT"
"KATUNASTRAAT","KATUNASTRAAT"
"KEITO","KEITO"
"KENEPASTRAAT","KENEPASTRAAT"
"KERKSTRAAT","KERKSTRAAT"
"KIBAIMA","KIBAIMA"
"KIBRAHACHASTRAAT","KIBRAHACHASTRAAT"
"KINIKINISTRAAT","KINIKINISTRAAT"
"KIVITI","KIVITI"
"KLEINE BERGWEG","KLEINE BERGWEG"
"KOCKSTRAAT","KOCKSTRAAT"
"KOENOEKOE ABAO","KOENOEKOE ABAO"
"KOERIBOERI","KOERIBOERI"
"KOLIBRISTRAAT","KOLIBRISTRAAT"
"KONINGSTRAAT","KONINGSTRAAT"
"KOOLBAAIBERGSTRAAT","KOOLBAAIBERGSTRAAT"
"KORTE STEEG","KORTE STEEG"
"KORTESTEEG","KORTESTEEG"
"KORVETSTRAAT","KORVETSTRAAT"
"KOYARI","KOYARI"
"KRUISWEG","KRUISWEG"
"KUDAWECHA","KUDAWECHA"
"KUIPERISTRAAT","KUIPERISTRAAT"
"KUKWISASTRAAT","KUKWISASTRAAT"
"KUNUCU ABOU","KUNUCU ABOU"
"KURIMIAUW","KURIMIAUW"
"KUSTBATTERIJ","KUSTBATTERIJ"
"KWARTSSTRAAT","KWARTSSTRAAT"
"KWARTSZSTRAAT","KWARTSZSTRAAT"
"KWIHISTRAAT","KWIHISTRAAT"
"L.G. SMITH BOULEVARD","L.G. SMITH BOULEVARD"
"LAGA BENA","LAGA BENA"
"LAGO HEIGHTSSTRAAT","LAGO HEIGHTSSTRAAT"
"LAGOENWEG","LAGOENWEG"
"LAGOWEG","LAGOWEG"
"LAMOENCHISTRAAT","LAMOENCHISTRAAT"
"LAMUNCHISTRAAT","LAMUNCHISTRAAT"
"LARAHASTRAAT","LARAHASTRAAT"
"LAURENS COSTERSTRAAT","LAURENS COSTERSTRAAT"
"LOD V NASSAUSTRAAT","LOD V NASSAUSTRAAT"
"LODEWIJK VAN NASSAUSTR","LODEWIJK VAN NASSAUSTR"
"LONGFELLOWSTRAAT","LONGFELLOWSTRAAT"
"LOPEZSTRAAT","LOPEZSTRAAT"
"LOUISE DE COLIGNYSTRAA","LOUISE DE COLIGNYSTRAA"
"LOUISE DE COLIGNYSTRAAT","LOUISE DE COLIGNYSTRAAT"
"LUCEROSTRAAT","LUCEROSTRAAT"
"LUCIANITASTRAAT","LUCIANITASTRAAT"
"LUNA","LUNA"
"LUXEMBURGSTRAAT","LUXEMBURGSTRAAT"
"MABON","MABON"
"MABON KAVEL","MABON KAVEL"
"MACAPRUIMSTRAAT","MACAPRUIMSTRAAT"
"MACUARIMA","MACUARIMA"
"MACUARINA","MACUARINA"
"MACUBARISTRAAT","MACUBARISTRAAT"
"MADIKI","MADIKI"
"MADIKI KAVEL","MADIKI KAVEL"
"MADIKI-KAVEL","MADIKI-KAVEL"
"MADUROSTRAAT","MADUROSTRAAT"
"MAGDALENASTRAAT","MAGDALENASTRAAT"
"MAHOEMA","MAHOEMA"
"MAHUMA","MAHUMA"
"MAKAPRUIMSTRAAT","MAKAPRUIMSTRAAT"
"MALMOK","MALMOK"
"MALMOKWEG","MALMOKWEG"
"MALOHISTRAAT","MALOHISTRAAT"
"MAMOTICASTRAAT","MAMOTICASTRAAT"
"MANDARINASTRAAT","MANDARINASTRAAT"
"MANDOLINSTRAAT","MANDOLINSTRAAT"
"MANGELSTRAAT","MANGELSTRAAT"
"MANGOSTRAAT","MANGOSTRAAT"
"MANZANIASTRAAT","MANZANIASTRAAT"
"MANZANILLASTRAAT","MANZANILLASTRAAT"
"MARACASTRAAT","MARACASTRAAT"
"MARAWIEL","MARAWIEL"
"MARGRIETSTRAAT","MARGRIETSTRAAT"
"MARIA CHRISTINASTRAAT","MARIA CHRISTINASTRAAT"
"MARIA MAAI","MARIA MAAI"
"MARIA V ORANJESTRAAT","MARIA V ORANJESTRAAT"
"MARIA VAN ORANJESTRAAT","MARIA VAN ORANJESTRAAT"
"MARIEPAMPOENSTRAAT","MARIEPAMPOENSTRAAT"
"MARIPAMPUNSTRAAT","MARIPAMPUNSTRAAT"
"MARKTSTRAAT","MARKTSTRAAT"
"MARNIXSTRAAT","MARNIXSTRAAT"
"MATADERA","MATADERA"
"MATIVIDIRI","MATIVIDIRI"
"MATOGERAI","MATOGERAI"
"MAURITSSTRAAT","MAURITSSTRAAT"
"MAUVESTRAAT","MAUVESTRAAT"
"MAXWELLSTRAAT","MAXWELLSTRAAT"
